Question;target
Premise 1: (A or (not O implies A)) and A. Premise 2: Either (not S or S) or O. Premise 3: Either not S or (not O and O). Conclusion : If not not O then not A.;0
Premise 1: It is not the case that (F or not O). Premise 2: It is not the case that O. Premise 3: It is not the case that (not F or (Y implies not F)). Conclusion : It is not the case that (Y iff F).;1
Premise 1: If E then E. Premise 2: It is not the case that ((not O or not O) iff Y). Premise 3: Either O or (not E or O). Conclusion : If (O implies O) then not O.;0
Premise 1: It is not the case that A. Premise 2: It is not the case that A. Premise 3: It is not the case that A. Conclusion : It is not the case that Y.;0
Premise 1: It is not the case that (not O implies (E implies O)). Premise 2: Either Y or Y. Premise 3: (not Y implies O) and E. Conclusion : Y and (E iff not O).;1
Premise 1: If K then (V iff not V). Premise 2: If (B or (B or K)) then K. Premise 3: It is not the case that B. Conclusion : If (B and not K) then not K.;1
Premise 1: If (not L implies not not W) then not D. Premise 2: L and not not W. Premise 3: Either not W or (W and D). Conclusion : It is not the case that L.;1
Premise 1: It is not the case that (not G implies not L). Premise 2: If G then (G implies L). Premise 3: It is not the case that not W. Conclusion : L and (L or not L).;1
Premise 1: A. Premise 2: Not W and ((P or W) implies not A). Premise 3: If (A iff not A) then P. Conclusion : Not W and (W and not W).;0
Premise 1: Either U or I. Premise 2: Either (G or U) or G. Premise 3: I if and only if ((not I or U) implies I). Conclusion : U.;0
Premise 1: Not Y and Y. Premise 2: Either (Y or not A) or (not M and M). Premise 3: A and A. Conclusion : Either (Y or Y) or A.;1
Premise 1: Either C or S. Premise 2: It is not the case that S. Premise 3: If (S and N) then (C implies S). Conclusion : S.;0
Premise 1: Either U or (E implies E). Premise 2: E and (E and I). Premise 3: If U then (E and I). Conclusion : If (E or not U) then U.;0
Premise 1: It is not the case that I. Premise 2: Not I if and only if (S implies (not S implies not I)). Premise 3: S. Conclusion : A.;0
Premise 1: S. Premise 2: It is not the case that I. Premise 3: Either (I or S) or (C or S). Conclusion : I and I.;0
Premise 1: It is not the case that F. Premise 2: If not W then not (F and F). Premise 3: If (not not F and J) then W. Conclusion : W.;0
Premise 1: It is not the case that X. Premise 2: Either (not P implies P) or not P. Premise 3: Not P and (not X implies (P and X)). Conclusion : If not X then not P.;1
Premise 1: Either (I and I) or (T or not T). Premise 2: It is not the case that T. Premise 3: If not T then (not T implies I). Conclusion : It is not the case that F.;0
Premise 1: It is not the case that not K. Premise 2: K and (D implies not X). Premise 3: If X then K. Conclusion : It is not the case that X.;0
Premise 1: N and (not W implies E). Premise 2: Either E or ((W and W) and E). Premise 3: E and E. Conclusion : E.;1
Premise 1: U. Premise 2: It is not the case that (U and not G). Premise 3: Either not not L or G. Conclusion : It is not the case that G.;0
Premise 1: It is not the case that (L and B). Premise 2: ((T implies not T) implies B) and L. Premise 3: L. Conclusion : T.;1
Premise 1: K. Premise 2: G and K. Premise 3: It is not the case that not not G. Conclusion : X.;1
Premise 1: It is not the case that (A implies X). Premise 2: Not K and not A. Premise 3: It is not the case that A. Conclusion : It is not the case that (K or K).;1
Premise 1: If not O then (T implies C). Premise 2: (C implies C) and (T implies O). Premise 3: O if and only if O. Conclusion : If C then T.;0
Premise 1: F. Premise 2: If F then W. Premise 3: F. Conclusion : J.;0
Premise 1: If (not V implies not V) then F. Premise 2: It is not the case that F. Premise 3: F. Conclusion : Not I and I.;1
Premise 1: Not K and (K or (C or not K)). Premise 2: It is not the case that (not T implies T). Premise 3: Either not (K and T) or not K. Conclusion : It is not the case that K.;1
Premise 1: It is not the case that C. Premise 2: It is not the case that C. Premise 3: Either (not not C and W) or C. Conclusion : Either C or not I.;1
Premise 1: Not (U iff U) and I. Premise 2: I. Premise 3: Either (U and not I) or H. Conclusion : If (H and I) then U.;1
Premise 1: If K then not K. Premise 2: If ((A and K) implies X) then K. Premise 3: A. Conclusion : X and (not X and not X).;1
Premise 1: If X then not not X. Premise 2: If (not G implies X) then X. Premise 3: L. Conclusion : G and G.;0
Premise 1: K. Premise 2: If not not C then not Y. Premise 3: Either ((Y or C) iff K) or C. Conclusion : It is not the case that (K and K).;0
Premise 1: (A implies Y) and (L implies not Y). Premise 2: L and A. Premise 3: A. Conclusion : L.;1
Premise 1: If U then B. Premise 2: It is not the case that (not P and not U). Premise 3: Either (not not B implies B) or P. Conclusion : Either U or (U implies P).;1
Premise 1: X. Premise 2: I and (not X and not I). Premise 3: F. Conclusion : It is not the case that (I implies I).;1
Premise 1: It is not the case that D. Premise 2: If not not D then L. Premise 3: Either U or (U implies (L and U)). Conclusion : It is not the case that not U.;0
Premise 1: Either (C or X) or C. Premise 2: If K then X. Premise 3: ((K or X) or C) if and only if not C. Conclusion : X.;1
Premise 1: T. Premise 2: (not not T and not T) and T. Premise 3: E. Conclusion : It is not the case that T.;1
Premise 1: It is not the case that (J or H). Premise 2: Either not U or not U. Premise 3: Either (not J or not U) or (H and U). Conclusion : It is not the case that U.;1
Premise 1: Either A or ((not T and M) and T). Premise 2: It is not the case that M. Premise 3: If A then A. Conclusion : M.;0
Premise 1: It is not the case that A. Premise 2: Either (A iff not A) or (R and K). Premise 3: Not K and (A implies not R). Conclusion : R.;1
Premise 1: C. Premise 2: Not T and (not T iff (T implies not T)). Premise 3: Either not T or T. Conclusion : I and (I and C).;0
Premise 1: Either not K or S. Premise 2: If not G then not not not G. Premise 3: Not (K or K) and K. Conclusion : G.;1
Premise 1: D. Premise 2: If L then (S and (S or not D)). Premise 3: S. Conclusion : D.;1
Premise 1: It is not the case that ((not I and not D) and not T). Premise 2: T and not D. Premise 3: I. Conclusion : Either D or D.;0
Premise 1: If (R implies R) then J. Premise 2: Not not G and G. Premise 3: It is not the case that not J. Conclusion : Either G or G.;1
Premise 1: G and ((not G and G) or R). Premise 2: If (not G and not R) then G. Premise 3: If G then R. Conclusion : It is not the case that (not N or R).;0
Premise 1: W and F. Premise 2: If not F then (W and not F). Premise 3: It is not the case that (F or (F or F)). Conclusion : Either F or F.;1
Premise 1: It is not the case that not (I implies U). Premise 2: It is not the case that I. Premise 3: If D then not U. Conclusion : I.;0
Premise 1: Either G or (X iff G). Premise 2: G. Premise 3: It is not the case that (not G iff G). Conclusion : Either O or G.;1
Premise 1: B. Premise 2: If O then O. Premise 3: It is not the case that O. Conclusion : If B then B.;1
Premise 1: Not A and M. Premise 2: Y. Premise 3: M. Conclusion : Y and M.;1
Premise 1: E and (M or E). Premise 2: It is not the case that (not M implies M). Premise 3: If M then S. Conclusion : E and M.;0
Premise 1: (O or O) if and only if not E. Premise 2: It is not the case that (E or not not W). Premise 3: Not W and not O. Conclusion : Not O and not W.;1
Premise 1: It is not the case that H. Premise 2: H if and only if not H. Premise 3: It is not the case that (not H and X). Conclusion : It is not the case that P.;1
Premise 1: (E or (not X implies not K)) and not E. Premise 2: Either not K or not E. Premise 3: If not K then (K and X). Conclusion : It is not the case that not E.;0
Premise 1: If not R then not O. Premise 2: Not R and (R implies O). Premise 3: Either (R implies not R) or not O. Conclusion : R.;0
Premise 1: B. Premise 2: It is not the case that (not B and (N or R)). Premise 3: It is not the case that B. Conclusion : If not R then (not R or N).;1
Premise 1: Not R and not N. Premise 2: E and ((N and R) and not R). Premise 3: Either R or not R. Conclusion : Not E and R.;1
Premise 1: H. Premise 2: (not V or not O) if and only if V. Premise 3: It is not the case that O. Conclusion : Either O or (O or not O).;1
Premise 1: If X then X. Premise 2: P. Premise 3: Not X and not X. Conclusion : A.;0
Premise 1: It is not the case that (not L or not S). Premise 2: (not S iff D) and L. Premise 3: Either L or (D and (L or not L)). Conclusion : L and S.;1
Premise 1: If (H and N) then not U. Premise 2: It is not the case that ((not N implies U) and U). Premise 3: ((N implies H) implies not U) and N. Conclusion : If (not H implies U) then U.;0
Premise 1: It is not the case that not (K or E). Premise 2: It is not the case that E. Premise 3: If E then E. Conclusion : V.;0
Premise 1: Either U or (K and H). Premise 2: Either (H or K) or (K implies not U). Premise 3: If not H then (K and not U). Conclusion : U.;0
Premise 1: Not H if and only if (W and H). Premise 2: It is not the case that W. Premise 3: H and (W and not P). Conclusion : P and not H.;1
Premise 1: It is not the case that B. Premise 2: If I then (I implies not U). Premise 3: I. Conclusion : It is not the case that I.;0
Premise 1: G. Premise 2: It is not the case that (not K or not G). Premise 3: Either S or S. Conclusion : It is not the case that (not G or not K).;1
Premise 1: K. Premise 2: Either (X or X) or K. Premise 3: Either X or not not K. Conclusion : K and not C.;0
Premise 1: It is not the case that (D implies not J). Premise 2: D. Premise 3: If J then T. Conclusion : If (J or T) then D.;1
Premise 1: (O and not O) and O. Premise 2: F. Premise 3: F. Conclusion : R and (O and not O).;1
Premise 1: It is not the case that D. Premise 2: It is not the case that (W and (not W and not O)). Premise 3: If O then (O and not W). Conclusion : It is not the case that O.;0
Premise 1: It is not the case that not not B. Premise 2: If not B then T. Premise 3: B. Conclusion : It is not the case that J.;1
Premise 1: If (C implies not O) then O. Premise 2: (C implies S) and not C. Premise 3: Either C or (O or O). Conclusion : O and O.;1
Premise 1: It is not the case that (E or (V or not E)). Premise 2: Either E or I. Premise 3: It is not the case that (not I implies not V). Conclusion : Either V or V.;1
Premise 1: L. Premise 2: It is not the case that B. Premise 3: It is not the case that ((L and R) implies not B). Conclusion : R and (L or L).;1
Premise 1: Either W or not (N or not E). Premise 2: It is not the case that not N. Premise 3: N. Conclusion : It is not the case that (not N iff not N).;0
Premise 1: Either (not X or not D) or not X. Premise 2: It is not the case that D. Premise 3: It is not the case that I. Conclusion : I and I.;0
Premise 1: Either not J or (J implies J). Premise 2: B and U. Premise 3: (not B implies J) and (U or not J). Conclusion : J.;0
Premise 1: Not F and M. Premise 2: It is not the case that M. Premise 3: (U implies F) and F. Conclusion : U.;1
Premise 1: Y and not N. Premise 2: N. Premise 3: F and not N. Conclusion : Not F and Y.;1
Premise 1: It is not the case that (F and not F). Premise 2: L. Premise 3: Either (not F iff T) or not T. Conclusion : Either L or (F iff T).;1
Premise 1: Either (B iff not X) or (X or B). Premise 2: B if and only if not J. Premise 3: It is not the case that (not J iff not B). Conclusion : It is not the case that B.;0
Premise 1: L. Premise 2: If (E and (not L and E)) then not L. Premise 3: Either ((L implies not W) and W) or E. Conclusion : If L then L.;1
Premise 1: Either M or M. Premise 2: (not S and H) and not S. Premise 3: S. Conclusion : S.;1
Premise 1: If (not P and P) then not A. Premise 2: It is not the case that (P iff S). Premise 3: A and not A. Conclusion : S.;1
Premise 1: Not I and not (I or not T). Premise 2: T if and only if (not I implies T). Premise 3: G. Conclusion : If not I then T.;1
Premise 1: It is not the case that A. Premise 2: (not I iff not Y) and (Y or Y). Premise 3: I. Conclusion : I.;1
Premise 1: It is not the case that I. Premise 2: (T or I) and F. Premise 3: If (I or (T and I)) then F. Conclusion : It is not the case that T.;0
Premise 1: (I or (not V iff I)) and not G. Premise 2: If not G then (V or (not I and not I)). Premise 3: Not G and V. Conclusion : Either V or V.;1
Premise 1: It is not the case that ((I implies D) iff D). Premise 2: It is not the case that I. Premise 3: If D then not I. Conclusion : Not I and D.;0
Premise 1: It is not the case that (K or (V and E)). Premise 2: It is not the case that (E and not V). Premise 3: Either V or ((not E or K) implies E). Conclusion : It is not the case that (V and K).;1
Premise 1: H. Premise 2: Either Y or Y. Premise 3: It is not the case that not H. Conclusion : L.;0
Premise 1: It is not the case that not (I implies not E). Premise 2: It is not the case that not I. Premise 3: V. Conclusion : E.;0
Premise 1: It is not the case that O. Premise 2: Not (O iff X) and A. Premise 3: Either (X or A) or (A or not A). Conclusion : Either not X or (A iff X).;1
Premise 1: If D then (not K or D). Premise 2: If ((D and D) or K) then K. Premise 3: Either K or (not not T or K). Conclusion : If not T then not K.;0
Premise 1: Either X or N. Premise 2: If not E then (N and not X). Premise 3: It is not the case that not X. Conclusion : If E then not E.;0
Premise 1: It is not the case that F. Premise 2: It is not the case that not F. Premise 3: M if and only if (M iff not not V). Conclusion : F and M.;1
Premise 1: Either (not N and not B) or (N and N). Premise 2: B. Premise 3: B and N. Conclusion : Either U or not not N.;1
Premise 1: (O and B) and O. Premise 2: (not B and not O) and not O. Premise 3: Not O if and only if not not B. Conclusion : It is not the case that B.;1
Premise 1: It is not the case that (not E and not N). Premise 2: If V then not (N and E). Premise 3: If (E or V) then E. Conclusion : Not E and not V.;0
Premise 1: It is not the case that (not G or N). Premise 2: It is not the case that (not not N or N). Premise 3: G and X. Conclusion : Either (not N implies N) or N.;0
Premise 1: Either (B or (R or R)) or B. Premise 2: If not R then B. Premise 3: If J then J. Conclusion : B.;0
Premise 1: Not not H and W. Premise 2: If (H implies H) then (N and N). Premise 3: It is not the case that not (not N or H). Conclusion : (not W or H) and not N.;0
Premise 1: If (Y and not G) then (not L and not G). Premise 2: G. Premise 3: G and (not not G implies L). Conclusion : It is not the case that Y.;0
Premise 1: P. Premise 2: D and P. Premise 3: Either (S implies not P) or (P or D). Conclusion : It is not the case that S.;0
Premise 1: L. Premise 2: Not not D and Y. Premise 3: It is not the case that Y. Conclusion : L.;1
Premise 1: G and U. Premise 2: Either not P or (not P and G). Premise 3: G and G. Conclusion : Not U and not G.;0
Premise 1: T. Premise 2: (A and not T) and (A or N). Premise 3: Either T or A. Conclusion : It is not the case that (N and N).;1
Premise 1: If M then not (not E and not M). Premise 2: If (not M or E) then R. Premise 3: (not E implies not E) and not E. Conclusion : It is not the case that E.;1
Premise 1: Either F or (V implies (not F or F)). Premise 2: If not V then not F. Premise 3: It is not the case that not F. Conclusion : V.;1
Premise 1: O and O. Premise 2: D and (not X and not X). Premise 3: It is not the case that X. Conclusion : O and not O.;0
Premise 1: It is not the case that not L. Premise 2: Either S or (not F implies (F or F)). Premise 3: F. Conclusion : S.;0
Premise 1: J and ((J implies E) and not T). Premise 2: It is not the case that T. Premise 3: Either not T or ((not E or T) and not J). Conclusion : J.;1
Premise 1: Either P or ((U and U) implies U). Premise 2: P. Premise 3: If U then G. Conclusion : If not not U then not U.;0
Premise 1: L if and only if (not X iff C). Premise 2: If L then not X. Premise 3: Either not X or C. Conclusion : X.;0
Premise 1: D. Premise 2: It is not the case that (V or K). Premise 3: V. Conclusion : Not D and not D.;1
Premise 1: O if and only if D. Premise 2: D and S. Premise 3: D. Conclusion : It is not the case that O.;0
Premise 1: If X then I. Premise 2: H. Premise 3: If (I implies H) then X. Conclusion : It is not the case that X.;0
Premise 1: If (E implies K) then E. Premise 2: T. Premise 3: It is not the case that K. Conclusion : (K and E) if and only if K.;1
Premise 1: J. Premise 2: If (not E implies not Y) then E. Premise 3: J if and only if not Y. Conclusion : If not E then (E and not J).;1
Premise 1: Either (not M or not X) or (E or not X). Premise 2: Either (E implies M) or X. Premise 3: (M and not X) if and only if X. Conclusion : It is not the case that (not M and M).;1
Premise 1: If ((W or P) implies not W) then not D. Premise 2: It is not the case that (P or D). Premise 3: Either ((D and P) or P) or P. Conclusion : If not W then not D.;1
Premise 1: If (D and (not L implies not L)) then D. Premise 2: Either L or (D iff D). Premise 3: W. Conclusion : W.;1
Premise 1: D. Premise 2: Either (D iff not D) or not D. Premise 3: It is not the case that ((D iff L) or D). Conclusion : If (L or D) then L.;1
Premise 1: Either not not L or L. Premise 2: Either L or not G. Premise 3: L and not G. Conclusion : If not U then L.;1
Premise 1: It is not the case that (K and (K implies not T)). Premise 2: D. Premise 3: Either (not T and K) or T. Conclusion : Not T and (K implies T).;0
Premise 1: (A and N) and (A iff N). Premise 2: (not X and N) and X. Premise 3: Not N and X. Conclusion : X.;1
Premise 1: D and not (D or D). Premise 2: X. Premise 3: D. Conclusion : D.;1
Premise 1: F. Premise 2: If X then K. Premise 3: If (F and (X or K)) then F. Conclusion : F.;1
Premise 1: Either (G or T) or (T and G). Premise 2: (K implies G) and K. Premise 3: It is not the case that ((G implies K) or not K). Conclusion : K if and only if T.;1
Premise 1: Either not (not V implies K) or C. Premise 2: If C then V. Premise 3: Either not not V or (K or C). Conclusion : If C then (V and C).;1
Premise 1: Not M and (B or B). Premise 2: If (not B implies S) then not S. Premise 3: S. Conclusion : It is not the case that S.;1
Premise 1: Either T or not F. Premise 2: It is not the case that T. Premise 3: (K or not T) if and only if T. Conclusion : It is not the case that (not K and T).;1
Premise 1: Y. Premise 2: Y and (not L implies not C). Premise 3: It is not the case that C. Conclusion : C.;0
Premise 1: If (S implies not G) then G. Premise 2: Either (not G implies G) or K. Premise 3: K. Conclusion : It is not the case that (S and K).;0
Premise 1: D and M. Premise 2: M. Premise 3: It is not the case that D. Conclusion : It is not the case that not D.;1
Premise 1: Not S if and only if F. Premise 2: If (K implies not F) then (K and S). Premise 3: F. Conclusion : It is not the case that (F implies K).;0
Premise 1: It is not the case that ((not F implies P) and Y). Premise 2: It is not the case that Y. Premise 3: P. Conclusion : If not P then F.;1
Premise 1: Either (not L or H) or (L implies not H). Premise 2: (H or not H) if and only if not H. Premise 3: Either not Y or (not Y implies (H or H)). Conclusion : Y and not Y.;0
Premise 1: Either G or (T or G). Premise 2: It is not the case that G. Premise 3: T. Conclusion : Either P or not T.;0
Premise 1: It is not the case that X. Premise 2: If X then not O. Premise 3: O. Conclusion : Either E or not E.;1
Premise 1: I and I. Premise 2: Either (U or not I) or (U or U). Premise 3: Either (G or U) or (I and U). Conclusion : It is not the case that U.;0
Premise 1: Either L or not (not U implies not U). Premise 2: It is not the case that U. Premise 3: If not U then L. Conclusion : It is not the case that L.;0
Premise 1: E. Premise 2: Either not U or (not U or E). Premise 3: It is not the case that L. Conclusion : It is not the case that L.;1
Premise 1: It is not the case that not P. Premise 2: If not F then (R implies P). Premise 3: F and not R. Conclusion : F.;1
Premise 1: If J then ((X iff G) and J). Premise 2: If (G implies G) then not X. Premise 3: If not G then X. Conclusion : If not X then J.;0
Premise 1: It is not the case that ((Y or not L) iff L). Premise 2: L and L. Premise 3: Either (not H and Y) or L. Conclusion : It is not the case that Y.;1
Premise 1: E. Premise 2: If not R then not R. Premise 3: Either not M or E. Conclusion : It is not the case that R.;0
Premise 1: If (W and W) then not W. Premise 2: If (C or C) then not M. Premise 3: C. Conclusion : It is not the case that M.;1
Premise 1: Not I if and only if T. Premise 2: Either not B or T. Premise 3: Either T or B. Conclusion : It is not the case that (B and B).;0
Premise 1: Either Y or D. Premise 2: D. Premise 3: It is not the case that O. Conclusion : O.;0
Premise 1: O. Premise 2: (not U iff A) and (A iff U). Premise 3: Either (not O and O) or (not A implies not O). Conclusion : (not U implies U) and U.;1
Premise 1: It is not the case that not not C. Premise 2: It is not the case that ((W and C) and not W). Premise 3: It is not the case that not W. Conclusion : It is not the case that (not W or C).;1
Premise 1: Not Y and J. Premise 2: J if and only if Y. Premise 3: Either Y or not A. Conclusion : J.;1
Premise 1: O. Premise 2: F and not O. Premise 3: W if and only if not F. Conclusion : Either (not F iff not O) or not O.;1
Premise 1: P. Premise 2: P. Premise 3: S if and only if (S iff P). Conclusion : P.;1
Premise 1: It is not the case that ((L or H) and not T). Premise 2: It is not the case that not L. Premise 3: Either (H or H) or (L and T). Conclusion : It is not the case that not not L.;0
Premise 1: F. Premise 2: (I or (F iff not I)) and F. Premise 3: F and (I implies I). Conclusion : It is not the case that (F implies I).;0
Premise 1: If not G then G. Premise 2: Not G and J. Premise 3: G. Conclusion : If not J then not J.;1
Premise 1: It is not the case that (not C or not V). Premise 2: If (V and not C) then V. Premise 3: P. Conclusion : It is not the case that C.;0
Premise 1: If P then P. Premise 2: F. Premise 3: (F or not R) and (P implies R). Conclusion : It is not the case that R.;0
Premise 1: If (not F and not not I) then not U. Premise 2: It is not the case that U. Premise 3: U. Conclusion : It is not the case that F.;1
Premise 1: It is not the case that not M. Premise 2: Either M or not B. Premise 3: B. Conclusion : It is not the case that (not T implies not M).;0
Premise 1: G. Premise 2: (J implies (not S and not G)) and G. Premise 3: If (J implies not G) then S. Conclusion : It is not the case that S.;0
Premise 1: If (L or not L) then L. Premise 2: Not G and G. Premise 3: It is not the case that G. Conclusion : Either (G or not G) or not L.;1
Premise 1: If not T then (D and (T or T)). Premise 2: T. Premise 3: If (not D or not O) then (not D iff O). Conclusion : It is not the case that T.;0
Premise 1: If not F then N. Premise 2: F. Premise 3: Either not W or (not W and N). Conclusion : If (N implies N) then not N.;0
Premise 1: Either not N or (T or N). Premise 2: Either not N or T. Premise 3: T if and only if N. Conclusion : N and (F or not T).;0
Premise 1: If W then L. Premise 2: (not G or G) and W. Premise 3: It is not the case that L. Conclusion : It is not the case that L.;1
Premise 1: If (H and J) then (J iff H). Premise 2: If not U then J. Premise 3: H. Conclusion : It is not the case that (not U or U).;0
Premise 1: Either ((E implies not X) and E) or X. Premise 2: If E then O. Premise 3: (E and not O) and O. Conclusion : Not X and (not X iff E).;1
Premise 1: It is not the case that L. Premise 2: It is not the case that T. Premise 3: (T and F) and (not L or F). Conclusion : T.;1
Premise 1: V. Premise 2: D and P. Premise 3: Either D or V. Conclusion : Either D or P.;1
Premise 1: It is not the case that (L or (A implies A)). Premise 2: L. Premise 3: L. Conclusion : A.;1
Premise 1: It is not the case that not (D and not D). Premise 2: D. Premise 3: If not N then ((N implies not N) implies not D). Conclusion : N.;1
Premise 1: Not I and (not D or not T). Premise 2: If D then (T and T). Premise 3: (not I and D) if and only if (D or not I). Conclusion : It is not the case that T.;1
Premise 1: If not L then E. Premise 2: If (X implies L) then (L implies L). Premise 3: X. Conclusion : Not X and not E.;0
Premise 1: Either Y or (not F and not F). Premise 2: If not P then (Y or P). Premise 3: It is not the case that Y. Conclusion : Y and not Y.;0
Premise 1: It is not the case that (not G and (G and G)). Premise 2: If U then U. Premise 3: Not J and not G. Conclusion : It is not the case that (not G or J).;0
Premise 1: It is not the case that Y. Premise 2: Either (D and K) or Y. Premise 3: Either (not not D implies D) or D. Conclusion : Either D or D.;1
Premise 1: A and not N. Premise 2: It is not the case that N. Premise 3: Either not A or not not A. Conclusion : Y.;0
Premise 1: It is not the case that (not A and I). Premise 2: It is not the case that (not A implies I). Premise 3: It is not the case that (A or I). Conclusion : If V then I.;0
Premise 1: It is not the case that C. Premise 2: Not I and (not C implies not C). Premise 3: If not T then not T. Conclusion : T.;0
Premise 1: Either (I and C) or (I or C). Premise 2: It is not the case that W. Premise 3: It is not the case that W. Conclusion : It is not the case that not C.;0
Premise 1: If not W then (L and W). Premise 2: It is not the case that L. Premise 3: Either not L or L. Conclusion : L.;0
Premise 1: X. Premise 2: If P then (P or not X). Premise 3: (P or X) and not P. Conclusion : It is not the case that X.;0
Premise 1: Either D or L. Premise 2: Not D and not D. Premise 3: It is not the case that (not D and not S). Conclusion : (not S and D) and S.;0
